Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory
Cornharrow Wind Farm (Resubmission),Wind,Application Submitted,266701,592862,In development,Large (1MW+)
Sandy Knowe Wind Farm (S.36 resubmission),Wind,Awaiting Construction,270100,610600,In development,Large (1MW+)
Glen Ullinish Wind Farm,Wind,Awaiting Construction,134850,842440,In development,Large (1MW+)
Hill of Carlincraig wind turbines,Wind,Awaiting Construction,368325,844794,In development,Large (1MW+)
Greengairs Wind Farm,Wind,Awaiting Construction,279673,669835,In development,Large (1MW+)
Greengairs East Wind Farm,Wind,Awaiting Construction,280551,669203,In development,Large (1MW+)
Solwaybank Wind Farm (resubmission),Wind,Under Construction,329413,578978,In development,Large (1MW+)
Glenkerie Wind Farm Extension,Wind,Awaiting Construction,310453,628117,In development,Large (1MW+)
Loganhead Wind Farm,Wind,Awaiting Construction,330880,586580,In development,Large (1MW+)
Drumelzie,Wind,Awaiting Construction,288864,669037,In development,Large (1MW+)
A'Chruach (Phase 2),Wind,Awaiting Construction,194350,697350,In development,Large (1MW+)
South Priorhill Farm,Wind,Awaiting Construction,275280,639176,In development,Large (1MW+)
Stoney Hill Farm,Wind,Awaiting Construction,266542,636804,In development,Large (1MW+)
Tormywheel Wind Farm Extension,Wind,Awaiting Construction,294590,657692,In development,Large (1MW+)
Beinn Thulabaigh Wind Turbine,Wind,Awaiting Construction,136905,932771,In development,Large (1MW+)
Priestgill Wind Farm,Wind,Awaiting Construction,295854,625399,In development,Large (1MW+)
Windy Rig Wind Farm (resubmission),Wind,Awaiting Construction,261700,600000,In development,Large (1MW+)
Gass Wind Farm,Wind,Awaiting Construction,225226,566406,In development,Large (1MW+)
Aultmore Wind Farm -resubmission,Wind,Awaiting Construction,345000,860000,In development,Large (1MW+)
South Kyle Wind Farm,Wind,Awaiting Construction,254576,604980,In development,Large (1MW+)
Kenly Wind Farm (Resubmission),Wind,Awaiting Construction,355244,713277,In development,Large (1MW+)
Sandwick North St Community wind turbine,Wind,Awaiting Construction,121228,941735,In development,Large (1MW+)
Burnfoot East Wind Farm (further extension),Wind,Under Construction,290930,703230,In development,Large (1MW+)
Enoch Hill,Wind,Awaiting Construction,258401,609144,In development,Large (1MW+)
Sneddon Law Community Wind Farm,Wind,Under Construction,249387,641441,In development,Large (1MW+)
Camilty Wind Farm,Wind,Awaiting Construction,305615,659320,In development,Large (1MW+)
Hopsrig Wind Farm,Wind,Awaiting Construction,327484,588675,In development,Large (1MW+)
Over Hill Wind Farm,Wind,Awaiting Construction,251694,611197,In development,Large (1MW+)
Longhill Burn Wind Farm,Wind,Awaiting Construction,298062,658993,In development,Large (1MW+)
Neart na Gaoithe (Resubmission),Wind,Under Construction,384615,708641,In development,Large (1MW+)
Glenshimmeroch Wind Farm,Wind,Awaiting Construction,266021,587733,In development,Large (1MW+)
Glenshero Wind Farm,Wind,Application Submitted,255156,793734,In development,Large (1MW+)
Twentyshilling Hill Wind Farm (resubmission),Wind,Awaiting Construction,279500,604500,In development,Large (1MW+)
