Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory,longitude,latitude
Shaws Farm,Other,Awaiting Construction,277378.0,649453.0,In development,Large (1MW+),-3.9538009856895493,55.72292360875812
Dunsinane Industrial Estate,Other,Awaiting Construction,337745.0,732482.0,In development,Large (1MW+),-3.012359563023096,56.48030557031686
Fordtown Energy Storage (Resubmission),Other,Awaiting Construction,377990.0,814576.0,In development,Large (1MW+),-2.3661190069067377,57.22137996892875
Roaring Hill (Resubmission),Other,Awaiting Construction,325451.0,702300.0,In development,Large (1MW+),-3.2033442317595693,56.20741990901536
Harestanes Windfarm,Other,Awaiting Construction,300958.0,597760.0,In development,Large (1MW+),-3.5601039079614716,55.26401800431903
Arecleoch Wind Farm (extension),Other,Application Submitted,221500.0,578500.0,In development,Large (1MW+),-4.79703350625549,55.06879198585084
Greenburn Wind Park,Other,Application Submitted,256423.0,614614.0,In development,Large (1MW+),-4.269035716694858,55.40437971838528
Land North of Thornton Road,Other,Awaiting Construction,329101.0,695410.0,In development,Large (1MW+),-3.1426793994518167,56.146088734427366
Whitelee Wind Farm Battery Storage Extension,Other,Awaiting Construction,263618.0,646810.0,In development,Large (1MW+),-4.171384659090954,55.69551381070194
Jamesfield Organic Centre,Other,Awaiting Construction,320261.0,717467.0,In development,Large (1MW+),-3.291568824274995,56.34280655719748
Clauchrie Windfarm Battery,Other,Application Submitted,229552.0,588722.0,In development,Large (1MW+),-4.677222960165071,55.16337570618527
Hagshaw Hill,Other,Awaiting Construction,282089.0,631116.0,In development,Large (1MW+),-3.870976688803297,55.55942280697608
Tarland Substation,Other,Awaiting Construction,352561.0,807158.0,In development,Unknown,-2.78575912833273,57.152818530964595
Pleasance Road,Other,Awaiting Construction,321821.0,739152.0,In development,Large (1MW+),-3.272834847570136,56.53783630738949
Fraserburgh Development,Other,Awaiting Construction,398525.0,864618.0,In development,Large (1MW+),-2.026396121226064,57.671417804008655
Strichen South,Other,Awaiting Construction,398939.0,854433.0,In development,Large (1MW+),-2.0194051750698643,57.57993421570484
Strichen North,Other,Awaiting Construction,397549.0,855489.0,In development,Large (1MW+),-2.0426601134259887,57.58941382574286
North West Of Jameston Farm,Other,Awaiting Construction,232189.0,647344.0,In development,Large (1MW+),-4.671188403307022,55.69045163463101
Sheirdrim Renewable Energy Development - Battery,Other,Application Submitted,181450.0,657720.0,In development,Large (1MW+),-5.485175845002953,55.76331207327404
North-East of Spitfire Way - GCP,Other,Awaiting Construction,293750.0,680150.0,In development,Unknown,-3.705327800665192,56.002478057436136
Blackpark Farm,Other,Awaiting Construction,289712.0,814915.0,In development,Large (1MW+),-3.8275949121506967,57.21165899952877
Douglas West Wind Farm (extension),Other,Application Submitted,280968.0,634257.0,In development,Large (1MW+),-3.89009302693149,55.587357376274035
Shepherd's Rig Wind Farm,Other,Application Submitted,262319.0,593591.0,In development,Large (1MW+),-4.16568272590523,55.217301372831464
Foula Community Electricity Scheme,Other,Operational,397081.0,1138943.0,Operational,Unknown,-2.054367215802252,60.13501229323498
Horse Island Microgrid Project,Other,Operational,202386.0,904706.0,Operational,Unknown,-5.344457355753342,57.987509940564564
Isle of Rum Microgrid Project,Other,Operational,137593.0,799241.0,Operational,Unknown,-6.323855240394627,57.009452489622916
Kip Water Hydro Scheme,Other,Application Submitted,221610.0,673062.0,In development,Large (1MW+),-4.856119851879212,55.91746465433247
Hywind 2,Other,Operational,411917.0,846754.0,Operational,Large (1MW+),-1.802759401972303,57.510806480717676
Isle of Muck Microgrid System,Other,Operational,141577.0,779605.0,Operational,Unknown,-6.23841292082406,56.83578895245409
